#Simulation time: 197.63
#Flow at exit main exit( ID 2 )
#Time (s)  cummulative number of agents 

22.096154  1
25.096154  2
28.096154  3
31.096154  4
34.096154  5
37.096154  6
40.096154  7
41.144231  8
43.576923  9
43.980769  10
46.096154  11
46.769231  12
49.096154  13
51.105769  14
52.096154  15
55.000000  16
55.096154  17
56.307692  18
58.096154  19
60.451923  20
61.096154  21
61.634615  22
63.230769  23
64.067308  24
67.096154  25
67.692308  26
69.663462  27
70.096154  28
73.096154  29
75.019231  30
76.096154  31
76.942308  32
79.067308  33
79.096154  34
82.096154  35
82.846154  36
84.144231  37
85.096154  38
85.442308  39
88.096154  40
90.009615  41
91.096154  42
91.230769  43
92.048077  44
94.096154  45
94.942308  46
97.096154  47
99.932692  48
100.086538  49
101.144231  50
103.028846  51
103.980769  52
106.096154  53
107.682692  54
109.096154  55
109.346154  56
112.096154  57
115.096154  58
115.461538  59
116.769231  60
118.096154  61
118.471154  62
120.451923  63
121.086538  64
123.201923  65
124.067308  66
124.307692  67
125.548077  68
127.096154  69
130.096154  70
130.548077  71
132.115385  72
133.096154  73
133.673077  74
136.096154  75
137.798077  76
139.096154  77
140.105769  78
141.403846  79
142.096154  80
145.086538  81
148.096154  82
151.096154  83
152.701923  84
154.096154  85
154.125000  86
154.961538  87
156.365385  88
157.096154  89
160.096154  90
160.817308  91
161.144231  92
162.134615  93
164.278846  94
171.211538  95
172.519231  96
174.375000  97
180.403846  98
184.211538  99
185.423077  100
186.596154  101
187.836538  102
189.519231  103
196.076923  104

